;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
;Anguilla;1;0;0;5;0;1262;0,08;2;50;
;Argentina;93;0;0;12720;8,18;1262;7,37;6839;1,36;
;Armenia;5;0;0;1985;1,28;1262;0,4;1066;0,47;
;Australia;95;0;0;9761;6,28;1262;7,53;5051;1,88;
;Austria;3;0;0;602;0,39;1262;0,24;279;1,08;
;Azerbaijan;17;0;0;823;0,53;1262;1,35;493;3,45;
;Bangladesh;25;0;0;17468;11,23;1262;1,98;8416;0,3;
;Belarus ;12;0;0;3044;1,96;1262;0,95;1391;0,86;
;Belgium ;33;0;0;1653;1,06;1262;2,61;853;3,87;
;Bosnia and Herzegowina;12;0;0;1563;1,01;1262;0,95;800;1,5;
;Brazil;40;0;0;4834;3,11;1262;3,17;2612;1,53;
;Bulgaria;110;0;0;9387;6,04;1262;8,72;4695;2,34;
;Canada;293;0;0;25485;16,39;1262;23,22;14440;2,03;
;Chile;5;0;0;493;0,32;1262;0,4;293;1,71;
;China;18;0;0;7801;5,02;1262;1,43;3871;0,46;
;Colombia;7;0;0;889;0,57;1262;0,55;524;1,34;
;Costa Rica;4;0;0;180;0,12;1262;0,32;106;3,77;
;Croatia;12;0;0;2778;1,79;1262;0,95;1364;0,88;
;Cyprus;2;0;0;441;0,28;1262;0,16;291;0,69;
;Czech Republic;2;0;0;1181;0,76;1262;0,16;692;0,29;
;Denmark;4;0;0;702;0,45;1262;0,32;329;1,22;
;Dominican Republic;2;0;0;752;0,48;1262;0,16;412;0,49;
;Egypt;45;0;0;17182;11,05;1262;3,57;8809;0,51;
;Estonia;5;0;0;800;0,51;1262;0,4;438;1,14;
;Finland;2;0;0;808;0,52;1262;0,16;318;0,63;
;Former Yugoslav Republic Of Macedonia;17;0;0;1198;0,77;1262;1,35;624;2,72;
;France;18;0;0;3513;2,26;1262;1,43;1601;1,12;
;Georgia;6;0;0;503;0,32;1262;0,48;258;2,33;
;Germany ;80;0;0;7974;5,13;1262;6,34;3700;2,16;
;Greece;72;0;0;1848;1,19;1262;5,71;844;8,53;
;Hong Kong;1;0;0;671;0,43;1262;0,08;418;0,24;
;Hungary;12;0;0;1694;1,09;1262;0,95;775;1,55;
;India;1057;0;0;155501;100;1262;83,76;4603;22,96;
;Indonesia;29;0;0;7742;4,98;1262;2,3;103;28,16;
;Iran;1;0;0;1;0;1262;0,08;1;100;
;Ireland;13;0;0;925;0,59;1262;1,03;477;2,73;
;Israel;27;0;0;3125;2,01;1262;2,14;1688;1,6;
;Italy;26;0;0;3404;2,19;1262;2,06;1452;1,79;
;Jamaica;1;0;0;233;0,15;1262;0,08;107;0,93;
;Jordan;3;0;0;864;0,56;1262;0,24;438;0,68;
;Kyrgyzstan;25;0;0;1521;0,98;1262;1,98;821;3,05;
;Lebanon;7;0;0;1029;0,66;1262;0,55;544;1,29;
;Lithuania;9;0;0;1867;1,2;1262;0,71;958;0,94;
;Malaysia;27;0;0;3160;2,03;1262;2,14;1760;1,53;
;Malta;1;0;0;393;0,25;1262;0,08;190;0,53;
;Mauritius;1;0;0;223;0,14;1262;0,08;113;0,88;
;Mexico;25;0;0;3465;2,23;1262;1,98;1732;1,44;
;Moldova;22;0;0;3146;2,02;1262;1,74;1541;1,43;
;Nepal;1;0;0;1861;1,2;1262;0,08;1018;0,1;
;Netherlands;19;0;0;3487;2,24;1262;1,51;1579;1,2;
;New Zealand;20;0;0;1482;0,95;1262;1,58;827;2,42;
;Nigeria;3;0;0;909;0,58;1262;0,24;444;0,68;
;Norway;6;0;0;779;0,5;1262;0,48;348;1,72;
;Pakistan;230;0;0;72899;46,88;1262;18,23;36757;0,63;
;Palestine;4;0;0;206;0,13;1262;0,32;104;3,85;
;Peru;5;0;0;919;0,59;1262;0,4;498;1;
;Philippines;38;0;0;13478;8,67;1262;3,01;7059;0,54;
;Poland;24;0;0;7145;4,59;1262;1,9;3520;0,68;
;Portugal;40;0;0;2963;1,91;1262;3,17;1682;2,38;
;Puerto Rico;1;0;0;56;0,04;1262;0,08;31;3,23;
;Qatar;7;0;0;374;0,24;1262;0,55;257;2,72;
;Reunion;1;0;0;2;0;1262;0,08;1;100;
;Romania;653;0;0;92390;59,41;1262;51,74;48482;1,35;
;Russian Federation;173;0;0;28357;18,24;1262;13,71;14718;1,18;
;Saudi Arabia;2;0;0;645;0,41;1262;0,16;335;0,6;
;Serbia;68;0;0;10957;7,05;1262;5,39;5747;1,18;
;Serbia + Montenegro (old);25;0;0;699;0,45;1262;1,98;2;1250;
;Singapore;10;0;0;2154;1,39;1262;0,79;1417;0,71;
;Slovakia;10;0;0;631;0,41;1262;0,79;306;3,27;
;Slovenia;5;0;0;630;0,41;1262;0,4;332;1,51;
;South Africa;26;0;0;2355;1,51;1262;2,06;1027;2,53;
;Spain;12;0;0;4028;2,59;1262;0,95;1948;0,62;
;Sri Lanka;3;0;0;6306;4,06;1262;0,24;2884;0,1;
;Sweden;26;0;0;3060;1,97;1262;2,06;1468;1,77;
;Switzerland;2;0;0;736;0,47;1262;0,16;333;0,6;
;Syrian Arab Republic;3;0;0;360;0,23;1262;0,24;137;2,19;
;Thailand;9;0;0;1454;0,94;1262;0,71;717;1,26;
;Togo;1;0;0;4;0;1262;0,08;2;50;
;Trinidad and Tobago;1;0;0;43;0,03;1262;0,08;17;5,88;
;Turkey;23;0;0;4827;3,1;1262;1,82;2421;0,95;
;Ukraine;160;0;0;27775;17,86;1262;12,68;13875;1,15;
;United Arab Emirates;3;0;0;2335;1,5;1262;0,24;1226;0,24;
;United Kingdom;272;0;0;29927;19,25;1262;21,55;14558;1,87;
;United States;1262;0;0;105420;67,79;1262;100;64074;1,97;
;Uruguay;10;0;0;1500;0,96;1262;0,79;923;1,08;
;Uzbekistan;3;0;0;393;0,25;1262;0,24;208;1,44;
;Vanuatu;3;0;0;19;0,01;1262;0,24;13;23,08;
;Vietnam;11;0;0;9827;6,32;1262;0,87;4529;0,24;
;Yemen;4;0;0;33;0,02;1262;0,32;18;22,22;
;Zimbabwe;2;0;0;92;0,06;1262;0,16;40;5;
